"['suspensao', 'usar', 'musica', 'guns', 'n', 'roses', 'suspensao', 'dias', 'falar', 'q', 'queria', 'ser', 'domado', 'egua', 'arrascaeta', 'nem', 'um', 'motivo', 'massa', 'eu', 'consigo', 'pra', 'ser', 'suspenso']","1 suspensão por usar música do guns n roses 
1 suspensão de 7 dias por falar q queria ser domado que nem egua pelo arrascaeta 

NEM UM MOTIVO MASSA EU CONSIGO PRA SER SUSPENSO"
"['sozinho', 'gente', 'consegue', 'fazer', 'merda', 'nenhuma', 'pra', 'ajudar', 'inferno']","Sozinho a gente não consegue fazer merda nenhuma pra ajudar, que inferno."
['caralho'],caralho https://t.co/mow37lqtSM
"['n', 'vou', 'tomar', 'banho', 'ate', 'frio', 'acabar']",n vou tomar banho ate o frio acabar
"['amo', 'tempo', 'foda', 'ir', 'treinar']",Amo esse tempo o foda e ir treinar 🥲
"['jordana', 'desgracada', 'vagabunda', 'puta', 'cachorra', 'idiota', 'esquisita', 'cadela', 'mentirosa', 'vai', 'tomar', 'cu', 'q', 'odio']",Jordana é uma desgraçada vagabunda puta cachorra idiota esquisita cadela mentirosa vai tomar no cu q ódio
"['tal', 'vc', 'enfiar', 'tora', 'ferro', 'cu', 'puta']",e que tal vc enfiar uma tora de ferro no seu cu sua puta https://t.co/9YUynMnLVR
"['desculpa', 'diego', 'luna', 'caralho', 'q', 'faca', 'querer', 'ver', 'andor']",desculpa diego luna mas não tem caralho q me faça querer ver andor
"['pedro', 'martins', 'ta', 'tocando', 'medo', 'bobo', 'aq', 'sala', 'to', 'querendo', 'chorar']","pedro martins tá tocando medo bobo aq na sala, tô querendo chorar"
"['garoto', 'gay', 'deixa']",garoto eu sou gay me deixa
"['vai', 'dar', 'cu', 'man']",vai dar esse teu cu man
"['coisa', 'idiota']",coisa mais idiota que tem https://t.co/hYwyDsbTvd
"['padronizacao', 'torcida', 'frankfurt', 'ta', 'foda', 'p', 'krl']",essa padronização da torcida do frankfurt ta foda p krl!
"['consegui', 'despedir', 'direito', 'amigos', 'odio', 'corona', 'vai', 'foder']",não consegui nem me despedir direito dos meus amigos que odio corona vai se foder
"['frio', 'longe', 'concha', 'vulgo', 'preto']",Frio e estou longe da minha concha vulgo meu preto
"['faco', 'merda']",eu só faço merda
"['menina', 'juro', 'to', 'louco']",o menina te juro to louco por você
"['puta', 'pariu', 'tesao']",Puta que pariu que tesão
"['eu', 'vou', 'comprar', 'livro', 'pessoa', 'e', 'lista', 'lidos', 'eu', 'xiiuuu', 'cala', 'boca']","Eu: Vou comprar mais um livro
Pessoa: E a lista de não lidos?
Eu: Xiiuuu! Cala a boca https://t.co/qRt49dmzsJ"
"['bando', 'fdp']",bando de fdp
"['fodase', 'ninguem', 'obrigacao', 'gastar', 'roupa', 'gente', 'chata']","Fodase, ninguem tem obrigação de gastar roupa com gente chata https://t.co/APLCJL2zQN"
"['corno', 'caraio']",esse corno caraio
"['obvio', 'nunca', 'vi', 'acefalo', 'ter', 'argumento']","Óbvio, nunca vi acéfalo ter argumento https://t.co/q2qknnU8ys"
"['chamos', 'em', 'mulher', 'de', 'preto', 'apareceu', 'dentro', 'do', 'carrofoi', 'a', 'pior', 'coisa', 'que', 'via', 'sinopse', 'chamos', 'jota', 'antunes', 'juntos', 'estrada', 'mulher', 'preto', 'sabiam', 'bem', 'perto', 'logo', 'atras', 'banco', 'tras', 'agora']","CHAMOS EM:MULHER DE PRETO APARECEU DENTRO DO CARRO/FOI A PIOR COISA QUE ... https://t.co/hkEEqON6ED via @YouTube Sinopse:Chamos e Jota Antunes juntos na estrada da mulher de preto o que eles não sabiam é que ela estava bem perto deles,logo atrás!é,no banco de trás e agora!!!"
"['que', 'frio', 'viado']",quê frio é esse viado
"['odeio', 'essa', 'merda']",ODEIO ESSA MERDA https://t.co/GxW3G20nDZ
"['frio', 'caralho']",que frio do caralho
"['eu', 'quero', 'q', 'foda', 'tbm']",Eu quero é q se foda tbm 🤪
"['deus', 'sair', 'agora', 'ta', 'frio', 'horrendo', 'banho', 'consigo', 'tomar']","meu deus tenho que sair agora e tá um frio horrendo, nem banho consigo tomar"
"['oh', 'bixa', 'bonita', 'viu', 'senhor']",oh bixa bonita viu meu senhor
"['caralho', 'garganta', 'ta', 'resto']",Caralho minha garganta tá só no resto
"['tou', 'pensando', 'furar', 'mamilo', 'vai', 'ficar', 'bonito']","Tou pensando em furar o mamilo, será que vai ficar bonito? 👀

#gay #PINTOSAWARDS #mamilo https://t.co/F7kY8IpuiJ"
"['foda', 'pessoa', 'ter', 'vendido', 'pacotes', 'erva', 'pede', 'foda', 'ne']","foda a pessoa ter vendido 10 pacotes de erva mas me pede só 3, foda né"
"['ah', 'vai', 'toma', 'cu', 'tbm', 'inferno', 'q', 'krl']",ah vai toma no cu tbm inferno q krl
"['it', 's', 'does', 'nt', 'hurt', 'to', 'stroke', 'little', 'nao', 'acariciar', 'pouquinho']","It's doesn't hurt to stroke a little. 

Não sou acariciar um pouquinho. 

#pau #pinto #penis #dick #cock #small #pequeno #prepucio #fimose #uncut #foreskin #punheta #jerk #wank #gay #horny #smallpenis #smallcock https://t.co/9bjtdUdrZX"
"['a', 'larinha', 'ta', 'no', 'pod', 'pah', 'caralho']",A LARINHA TÁ NO POD PAH CARALHO
"['caralho', 'maluco', 'to', 'puto']",Caralho maluco to muito puto
"['kkkkk', 'aham', 'aconteceu', 'pra', 'caralho']",KKKKK AHAM *aconteceu pra caralho*
"['petropolitano', 'falando', 'caralho', 'veado', 'ta', 'frio']","Petropolitano falando 
- Caralho veado, tá muito frio !"
"['puta', 'pariu', 'vey', 'q', 'frio']","Puta que pariu vey, q frio é esse"
"['que', 'frio', 'puta', 'pariu']",Que frio puta que pariu
"['deus', 'garota', 'cala', 'boca', 'ninguem', 'liga', 'pra', 'vc', 'insistencia', 'militar', 'baboseira', 'pasme', 'nao', 'vao', 'mudar']","meu deus garota cala a boca ninguém liga pra vc e essa sua insistência em militar por baboseira que, pasme só, NAO VAO MUDAR"
"['simplemente', 'bloquear', 'junior', 'whatsapp', 'odio', 'gente', 'surtada', 'entao', 'prefiro', 'bloquear', 'pra', 'mandar', 'toma', 'cu', 'logo']","Simplemente tive que bloquear o Junior no WhatsApp,eu tenho é ódio de gente surtada,então eu prefiro bloquear pra eu não mandar toma no cu logo"
"['carai', 'coma', 'ta', 'caro', 'pra', 'cacete', 'que', 'mano']","Carai, o CoMa tá caro pra cacete! Que isso mano"
"['to', 'pensando', 'vale', 'pena', 'sair', 'casa', 'pra', 'ver', 'vo', 'nesse', 'frio', 'caralho']",to pensando se vale a pena sair de casa pra ver minha vó nesse frio do caralho
"['meninos', 'queriam', 'celular', 'tomar', 'cervejinha', 'fazer', 'dinheirinho', 'se', 'chamava', 'policia', 'o', 'proprio', 'pai', 'disse', 'suporta', 'ver', 'policia', 'prendendo', 'agredindo', 'ladrao', 'celular']","""meninos"" só queriam um celular para tomar uma cervejinha e fazer um dinheirinho. Se eu fosse ele nem chamava a polícia. O próprio pai disse que não suporta mais ver a polícia prendendo e agredindo ladrão de celular. 🤣🤣🤣🤣

https://t.co/tbHQYU3y8k"
"['egua', 'morro', 'vergonha', 'compartilhar', 'playlist', 'spotify']","égua, morro de vergonha de compartilhar minhas playlist do spotify (???)"
"['tue', 'tue', 'caralho']",tuê tuê é do caralho
"['coloca', 'cu', 'proxima', 'vez', 'pra', 'ver', 'esquece', 'carai', 'asa']",Coloca no cu da próxima vez pra ver se não esquece carai de asa ✌️
"['apaixonado', 'bobo']",Apaixonado bobo
"['foda', 'tudo', 'todos']",foda se tudo e todos
"['mano', 'frio', 'puta', 'merda']",mano que frio é esse puta merda
"['a', 'bosta', 'sai', 'nesse', 'frio']",A bosta nem sai nesse frio
"['fds', 'puta', 'q', 'pariu', 'merda', 'mota']",Fds puta q pariu a merda da mota
"['sei', 'pq', 'ainda', 'aturo', 'infantilidade', 'merda']",não sei pq eu ainda aturo essa infantilidade de merda
"['pantanal', 'resgatando', 'memoria', 'afetiva', 'sertanejo', 'antigo', 'mente', 'do', 'nada', 'comecei', 'cantar', 'cavalo', 'preto', 'metro', 'kkkkkk']","Pantanal está resgatando uma memória afetiva de sertanejo antigo na minha mente.
Do nada comecei a cantar Cavalo Preto no metrô kkkkkk"
"['caralho', 'coisas', 'melhoram', 'uns', 'tipo', 'diasssss', 'amo', 'universo', 'valeu']","caralho as coisas melhoram uns 70% em tipo diasssss,te amo universo valeu"
"['nao', 'pagar', 'carnica', 'cachaceiro', 'corrupto', 'desgracado', 'asqueroso', 'nove', 'dedos', 'cachaceiro', 'corrupto', 'safado', 'e', 'ladrao', 'tem', 'ir', 'pro', 'inferno', 'rapido', 'mas', 'capeta', 'nega', 'receber']","NÃO temos que pagar, é do carniça, cachaceiro corrupto, desgraçado, asqueroso. Nove dedos cachaceiro corrupto safado. E LADRÃO. Tem que ir pro inferno rápido. Mas, o capeta se nega a receber!
#PTNuncaMais 
#LulaNaCadeia https://t.co/Cc18PwoY11"
"['eu', 'viado', 'escrito', 'testa', 'neh', 'a', 'gravata', 'petshop', 'colocou', 'filho']","Eu tenho “viado” escrito na testa neh?
A gravata que o petshop colocou no meu filho https://t.co/eI6AMuNKx4"
Tweet Tratado,Tweet Original
"['gente', 'vou', 'ter', 'tomar', 'banho', 'nesse', 'frio', 'pra', 'sair']",Gente eu mesmo que vou ter que tomar banho nesse frio pra sair???? 😭😭😭😭😭
"['puta', 'merda', 'consigo', 'tirar', 'pessoa', 'cabeca']",puta merda eu não consigo tirar essa pessoa da minha cabeça
"['vai', 'tomar', 'cu', 'kkkkkkkk']",vai tomar no cu kkkkkkkk https://t.co/WjuqBrdKRz
"['depois', 'anos', 'finalmente', 'trabalhando', 'formei', 'foda', 'agora', 'pra', 'saber', 'bom', 'demora', 'uns', 'meses', 'haha']","Depois de 7 anos estou finalmente trabalhando com o que me formei.
Foda que agora pra saber se eu sou bom mesmo demora uns meses haha"
"['der', 'merda', 'culpa', 'thalita']",se der merda a culpa é de thalita
"['foda', 'ficar', 'doente', 'fico', 'sensivel']","Foda ficar doente, fico sensível 💅💅💅💅💅"
"['o', 'tweet', 'furou', 'bolha', 'geral', 'ta', 'dodoi', 'para', 'mim', 'burro', 'entende', 'critica', 'o', 'pavao', 'ouve', 'torcedor', 'sinico', 'convem', 'justificou', 'compra', 'cp', 'geral', 'desce', 'lenha', 'e', 'reclamem', 'vontade', 'continuem', 'personagem']","O tweet furou a bolha e geral tá dodói. Para mim, burro é quem não entende a crítica. O PAVÃO não ouve o torcedor, mas é sínico quando lhe convém, como quando justificou a compra do CP que geral desce a lenha. É só isso. Reclamem a vontade e continuem com o personagem de vocês 😘 https://t.co/lWoKnumdXb"
"['irmao', 'tao', 'burro', 'filho', 'fds', 'balanca']",o meu irmão é tão burro filho fd-s é mesmo balança
"['nossa', 'desesperador', 'puta', 'pariu', 'gente', 'assim', 'fica', 'famosa', 'cara']",Nossa DESESPERADOR puta que pariu como gente assim fica famosa cara https://t.co/Xt5RXzti5J
"['queria', 'guardar', 'outra', 'forma', 'toda', 'vez', 'reflito', 'sobre', 'percebo', 'quanto', 'ingenuo', 'burro', 'fato', 'faz', 'mal']","Queria te guardar de outra forma, mas toda vez que reflito sobre, percebo o quanto fui ingênuo e burro, de fato me faz muito mal."
"['nao', 'filha', 'odeio', 'pai', 'quero', 'foda', 'mae']","""Não filha eu não odeio seu pai não só quero que ele se foda"" 
-mãe"
"['vontade', 'tomar', 'vinho']",que vontade de tomar vinho
"['como', 'pessoa', 'apaixona', 'outro', 'quer', 'isso', 'foda']",Como que a pessoa se apaixona por uma por outro que não quer ela.  Isso que é foda!!
"['ai', 'xixa', 'vai', 'toma', 'cu', 'compra', 'carro', 'desgraca', 'ate', 'parece', 'q', 'nao', 'rica']",ai xixa vai toma no cu compra um carro desgraça ate parece q nao e rica https://t.co/6eEEU8Xa3P
"['queria', 'entender', 'intencao', 'sbt', 'passar', 'merda', 'jogo', 'kkkk']",Queria entender a intenção do sbt em passar essa merda de jogo kkkk
"['se', 'decide', 'caralho']",SE DECIDE CARALHO https://t.co/vscqz924LP
['caralho'],CARALHO???? https://t.co/t1LZrq835j
"['vem', 'toda', 'hora', 'dizer', 'magoado', 'mandar', 'ir', 'tomar', 'cu']","Vem toda hora dizer que está magoado, até eu mandar ele ir tomar no cu."
"['o', 'bom', 'trabalha', 'ter', 'proprio', 'dinheiro', 'vc', 'sente', 'vontade', 'come', 'algo', 'compra', 'tava', 'vontade', 'come', 'caixa', 'salgado', 'comprei', 'theo', 'devoremos']",O bom de trabalha e ter seu próprio dinheiro é que vc sente vontade de come algo e só compra eu tava com vontade de come uma caixa de salgado comprei eu e o Théo devoremos🤩🤣
"['nunca', 'reclamei', 'calor', 'frio', 'pra', 'caralho', 'mane']","Nunca reclamei do calor,frio pra caralho mane🥶🥶"
"['lembrei', 'qnd', 'quase', 'fiquei', 'cega', 'pq', 'fdp', 'q', 'colocou', 'cilios', 'entupiu', 'cola']",lembrei de qnd quase fiquei cega pq a fdp q colocou meus cílios me entupiu de cola https://t.co/kekVKKvIhG
"['vou', 'tomar', 'banho', 'logo', 'pq', 'tarde', 'tomo', 'kkkkkk']",Vou tomar banho logo pq mais tarde eu não tomo não KKKKKK
"['quero', 'fazer', 'outra', 'identidade', 'ta', 'foda']",Quero fazer outra identidade mais tá foda🤦🏽‍♂️
"['foi', 'penalti', 'pra', 'caralho']",Foi pênalti pra Caralho
"['queria', 'tomar', 'caldinho']",Queria tomar um caldinho
"['vi', 'tt', 'sobre', 'ter', 'empatia', 'professores', 'didatica', 'pq', 'normalmente', 'exaustos', 'jornadas', 'excessivas', 'pra', 'ter', 'salario', 'digno', 'lembrei', 'professores', 'didatica', 'ridicula', 'msm', 'sendo', 'mt', 'inteligentes', 'ganhando', 'a', 'empatia', 'pro', 'caralho']","vi um tt sobre ter empatia com professores sem didática pq normalmente estão exaustos de jornadas excessivas pra ter um salário digno
Lembrei que meus professores tem uma didática ridícula msm sendo mt inteligentes e ganhando 30k 
A empatia foi pro caralho"
"['mama', 'bola', 'dc', 'foda', 'pqp']","mama bola da DC é foda, pqp"
"['mamin', 'levando', 'chocolate', 'quente', 'p', 'mim', 'tomar', 'escola', 'aaa']","mamin levando chocolate quente p mim tomar na escola, aaa"
"['outro', 'vagabundo', 'pra', 'ir', 'pra', 'cadeira', 'eletrica', 'um', 'vagabundo', 'safado', 'merece', 'pena', 'morte', 'esses', 'tipos', 'lixo', 'humano', 'pode', 'viver', 'meio', 'sociedade', 'gente', 'bem', 'ta', 'hora', 'ministro', 'dr', 'alexandre', 'stf', 'assinar', 'decretar', 'pena', 'morte', 'pra', 'caras']","OUTRO VAGABUNDO PRA IR PRA CADEIRA ELÉTRICA
Um vagabundo safado que merece pena de morte.
Esses tipos de lixo humano não pode viver mais no meio de nossa sociedade de gente do bem.
Tá na hora do Ministro Dr. Alexandre do STF assinar e decretar a pena de morte pra esses caras. https://t.co/ksd8vekgx8"
"['puta', 'merda', 'sei', 'onde', 'foste', 'ver', 'confiancas']","puta de merda, não sei onde foste ver das confianças com ele"
"['adoro', 'tomar', 'banho', 'frio', 'quero', 'sair', 'la']","eu adoro tomar banho no frio, eu só não quero sair de lá depois"
"['fone', 'quebrou', 'final', 'ultimo', 'exercicio', 'juro', 'vou', 'pois', 'vou', 'em', 'casa', 'pegar', 'outro', 'fone', 'voltar', 'pra', 'terminar', 'cardio', 'q', 'fi', 'duma', 'egua', 'pra', 'escutar', 'musicas', 'q', 'tocam', 'la']","meu fone quebrou no final do último exercício eu juro que vou *, pois eu vou EM CASA, pegar OUTRO fone e voltar pra terminar meu cardio q não sou nem fi duma égua pra escutar essas músicas q tocam lá https://t.co/uzJL3SnsHG"
"['vai', 'tomar', 'cu', 'borre']",vai tomar no cu borre
"['eu', 'odeio', 'ser', 'grossa', 'mamae', 'fala', 'manda', 'neto', 'pqp', 'pra', 'mandar', 'neto', 'fazer', 'merda', 'pra', 'ter', 'resolver', 'merda', 'fez', 'problema', 'tava', 'melhor', 'mandar', 'ne', 'melhor', 'mesma', 'ir', 'resolver', 'tudo']","Eu odeio ser grossa com a mamãe, mas quando ela fala “manda o neto” PQP se fosse pra mandar o neto e ele fazer merda pra eu ter que resolver a merda que ele fez e o problema que tava melhor não mandar né, melhor eu mesma ir e resolver tudo"
"['bora', 'tomar', 'cappuccino', 'nesse', 'frio', 'cactos']",Bora tomar um cappuccino nesse frio meus cactos?🌵☕️ https://t.co/PajgAifnpl
"['odeio', 'odeio', 'odeio', 'odeio', 'pessoas', 'caralho']","eu odeio, odeio, odeio, ODEIO pessoas. que caralho."
"['ta', 'moda', 'falar', 'merda', 'temperamento', 'segue', 'edicao', 'linda', 'figurinhas', 'de', 'simplicium', 'medicamentorum', 'pra', 'sabe', 'grego', 'caso']","como tá na moda falar merda de temperamento, segue uma edição linda com figurinhas do ""De simplicium medicamentorum"" pra quem sabe grego

(não é o meu caso)"
"['choquei', 'ai', 'frio', 'ta', 'tirando', 'caralho', 'mete', 'pe']","RT choquei: e ai frio, tá tirando caralho? mete o pé🫰"
"['vai', 'toma', 'cu', 'frio', 'porra', 'to', 'aguentando']",vai toma no cu que frio da porra não to aguentando
"['coloquei', 'gabi', 'roupa', 'azul', 'desespero', 'damares', 'nao', 'compre', 'arrombado', 'adote']","Coloquei minha Gabi de roupa azul para desespero da Damares! Não compre, arrombado, adote! @casadoviralata https://t.co/U0s2LeelXo"
"['frio', 'caralho', 'indo', 'tomar', 'sorvete']",frio do caralho e eu indo tomar sorvete
"['puta', 'pariu   ainda', 'alguem', 'acredita', 'fdp', 'russos', 'dizem', 'atingir', 'alvos', 'militares', 'que', 'povo', 'atrasado', 'ogres']","Puta que pariu…ainda há alguém que acredita nos fdp dos russos que dizem só atingir alvos militares ? Que povo atrasado, ogres mesmo! https://t.co/CFu96HZJHr"
"['frio', 'hj', 'ta', 'propicio', 'pra', 'tomar', 'cerveja']",frio de hj ta propício pra tomar 32 cerveja
"['ser', 'triste', 'ficar', 'triste', 'todo', 'dia', 'merda']",Ser triste e ficar triste todo dia é uma merda 😪
"['ficha', 'criminal', 'extensa', 'soltinho', 'matar', 'que', 'merda', 'quando', 'vai', 'acabar', 'hoje', 'assassinaram', 'dois', 'prfs', 'saiba', 'matador', 'serie', 'preso', 'fortaleza']","FICHA CRIMINAL EXTENSA e soltinho para MATAR.
Que merda é essa @gen_heleno @jairbolsonaro @GenMattos? Quando isso vai acabar?
Hoje assassinaram DOIS PRFs!!!!!
🇧🇷
Saiba quem é o matador em série preso em Fortaleza https://t.co/zS3BxoAbV0"
"['reciprocidade', 'efetiva', 'krlh', 'quero', 'foda']",Reciprocidade efetiva e o krlh quero que se foda muito
"['ma', 'boy', 'para', 'kkkk', 'pelo', 'menos', 'usou', 'coracao', 'preto', 'respeito']","Ma boy ? Para kkkk
Pelo menos usou coração preto 🖤 em respeito. https://t.co/BsvmMDlLCM"
"['crlh', 'faco', 'merda', 'pqp']",Crlh só faço merda pqp
"['mulher', 'fdp', 'da', 'enel']",MULHER FDP DA ENEL
"['oq', 'to', 'fudido', 'hj', 'eh', 'brincadeira']",oq eu to fudido hj eh brincadeira
"['vou', 've', 'vou', 'tia', 'amanha', 'pra', 'concertar', 'merda', 'fiz', 'cabelo']",Vou vê se vou na minha tia amanhã pra ela concertar a merda que eu fiz no cabelo 😩🤡
"['bloquear', 'facil', 'dificil', 'deslamber', 'cu']","Bloquear é fácil, difícil é deslamber meu cú 😘 ✌️"
"['suspensao', 'usar', 'musica', 'guns', 'n', 'roses', 'suspensao', 'dias', 'falar', 'q', 'queria', 'ser', 'domado', 'egua', 'arrascaeta', 'nem', 'um', 'motivo', 'massa', 'eu', 'consigo', 'pra', 'ser', 'suspenso']","1 suspensão por usar música do guns n roses 
1 suspensão de 7 dias por falar q queria ser domado que nem egua pelo arrascaeta 

NEM UM MOTIVO MASSA EU CONSIGO PRA SER SUSPENSO"
"['sozinho', 'gente', 'consegue', 'fazer', 'merda', 'nenhuma', 'pra', 'ajudar', 'inferno']","Sozinho a gente não consegue fazer merda nenhuma pra ajudar, que inferno."
['caralho'],caralho https://t.co/mow37lqtSM
"['n', 'vou', 'tomar', 'banho', 'ate', 'frio', 'acabar']",n vou tomar banho ate o frio acabar
"['amo', 'tempo', 'foda', 'ir', 'treinar']",Amo esse tempo o foda e ir treinar 🥲
"['jordana', 'desgracada', 'vagabunda', 'puta', 'cachorra', 'idiota', 'esquisita', 'cadela', 'mentirosa', 'vai', 'tomar', 'cu', 'q', 'odio']",Jordana é uma desgraçada vagabunda puta cachorra idiota esquisita cadela mentirosa vai tomar no cu q ódio
"['tal', 'vc', 'enfiar', 'tora', 'ferro', 'cu', 'puta']",e que tal vc enfiar uma tora de ferro no seu cu sua puta https://t.co/9YUynMnLVR
"['desculpa', 'diego', 'luna', 'caralho', 'q', 'faca', 'querer', 'ver', 'andor']",desculpa diego luna mas não tem caralho q me faça querer ver andor
"['pedro', 'martins', 'ta', 'tocando', 'medo', 'bobo', 'aq', 'sala', 'to', 'querendo', 'chorar']","pedro martins tá tocando medo bobo aq na sala, tô querendo chorar"
"['garoto', 'gay', 'deixa']",garoto eu sou gay me deixa
"['vai', 'dar', 'cu', 'man']",vai dar esse teu cu man
"['coisa', 'idiota']",coisa mais idiota que tem https://t.co/hYwyDsbTvd
"['padronizacao', 'torcida', 'frankfurt', 'ta', 'foda', 'p', 'krl']",essa padronização da torcida do frankfurt ta foda p krl!
"['consegui', 'despedir', 'direito', 'amigos', 'odio', 'corona', 'vai', 'foder']",não consegui nem me despedir direito dos meus amigos que odio corona vai se foder
"['frio', 'longe', 'concha', 'vulgo', 'preto']",Frio e estou longe da minha concha vulgo meu preto
"['faco', 'merda']",eu só faço merda
"['menina', 'juro', 'to', 'louco']",o menina te juro to louco por você
"['puta', 'pariu', 'tesao']",Puta que pariu que tesão
"['eu', 'vou', 'comprar', 'livro', 'pessoa', 'e', 'lista', 'lidos', 'eu', 'xiiuuu', 'cala', 'boca']","Eu: Vou comprar mais um livro
Pessoa: E a lista de não lidos?
Eu: Xiiuuu! Cala a boca https://t.co/qRt49dmzsJ"
"['bando', 'fdp']",bando de fdp
"['fodase', 'ninguem', 'obrigacao', 'gastar', 'roupa', 'gente', 'chata']","Fodase, ninguem tem obrigação de gastar roupa com gente chata https://t.co/APLCJL2zQN"
"['corno', 'caraio']",esse corno caraio
"['obvio', 'nunca', 'vi', 'acefalo', 'ter', 'argumento']","Óbvio, nunca vi acéfalo ter argumento https://t.co/q2qknnU8ys"
"['chamos', 'em', 'mulher', 'de', 'preto', 'apareceu', 'dentro', 'do', 'carrofoi', 'a', 'pior', 'coisa', 'que', 'via', 'sinopse', 'chamos', 'jota', 'antunes', 'juntos', 'estrada', 'mulher', 'preto', 'sabiam', 'bem', 'perto', 'logo', 'atras', 'banco', 'tras', 'agora']","CHAMOS EM:MULHER DE PRETO APARECEU DENTRO DO CARRO/FOI A PIOR COISA QUE ... https://t.co/hkEEqON6ED via @YouTube Sinopse:Chamos e Jota Antunes juntos na estrada da mulher de preto o que eles não sabiam é que ela estava bem perto deles,logo atrás!é,no banco de trás e agora!!!"
"['que', 'frio', 'viado']",quê frio é esse viado
"['odeio', 'essa', 'merda']",ODEIO ESSA MERDA https://t.co/GxW3G20nDZ
"['frio', 'caralho']",que frio do caralho
"['eu', 'quero', 'q', 'foda', 'tbm']",Eu quero é q se foda tbm 🤪
"['deus', 'sair', 'agora', 'ta', 'frio', 'horrendo', 'banho', 'consigo', 'tomar']","meu deus tenho que sair agora e tá um frio horrendo, nem banho consigo tomar"
"['oh', 'bixa', 'bonita', 'viu', 'senhor']",oh bixa bonita viu meu senhor
"['caralho', 'garganta', 'ta', 'resto']",Caralho minha garganta tá só no resto
"['tou', 'pensando', 'furar', 'mamilo', 'vai', 'ficar', 'bonito']","Tou pensando em furar o mamilo, será que vai ficar bonito? 👀

#gay #PINTOSAWARDS #mamilo https://t.co/F7kY8IpuiJ"
"['foda', 'pessoa', 'ter', 'vendido', 'pacotes', 'erva', 'pede', 'foda', 'ne']","foda a pessoa ter vendido 10 pacotes de erva mas me pede só 3, foda né"
"['ah', 'vai', 'toma', 'cu', 'tbm', 'inferno', 'q', 'krl']",ah vai toma no cu tbm inferno q krl
"['it', 's', 'does', 'nt', 'hurt', 'to', 'stroke', 'little', 'nao', 'acariciar', 'pouquinho']","It's doesn't hurt to stroke a little. 

Não sou acariciar um pouquinho. 

#pau #pinto #penis #dick #cock #small #pequeno #prepucio #fimose #uncut #foreskin #punheta #jerk #wank #gay #horny #smallpenis #smallcock https://t.co/9bjtdUdrZX"
"['a', 'larinha', 'ta', 'no', 'pod', 'pah', 'caralho']",A LARINHA TÁ NO POD PAH CARALHO
"['caralho', 'maluco', 'to', 'puto']",Caralho maluco to muito puto
"['kkkkk', 'aham', 'aconteceu', 'pra', 'caralho']",KKKKK AHAM *aconteceu pra caralho*
"['petropolitano', 'falando', 'caralho', 'veado', 'ta', 'frio']","Petropolitano falando 
- Caralho veado, tá muito frio !"
"['puta', 'pariu', 'vey', 'q', 'frio']","Puta que pariu vey, q frio é esse"
"['que', 'frio', 'puta', 'pariu']",Que frio puta que pariu
"['deus', 'garota', 'cala', 'boca', 'ninguem', 'liga', 'pra', 'vc', 'insistencia', 'militar', 'baboseira', 'pasme', 'nao', 'vao', 'mudar']","meu deus garota cala a boca ninguém liga pra vc e essa sua insistência em militar por baboseira que, pasme só, NAO VAO MUDAR"
"['simplemente', 'bloquear', 'junior', 'whatsapp', 'odio', 'gente', 'surtada', 'entao', 'prefiro', 'bloquear', 'pra', 'mandar', 'toma', 'cu', 'logo']","Simplemente tive que bloquear o Junior no WhatsApp,eu tenho é ódio de gente surtada,então eu prefiro bloquear pra eu não mandar toma no cu logo"
"['carai', 'coma', 'ta', 'caro', 'pra', 'cacete', 'que', 'mano']","Carai, o CoMa tá caro pra cacete! Que isso mano"
"['to', 'pensando', 'vale', 'pena', 'sair', 'casa', 'pra', 'ver', 'vo', 'nesse', 'frio', 'caralho']",to pensando se vale a pena sair de casa pra ver minha vó nesse frio do caralho
"['meninos', 'queriam', 'celular', 'tomar', 'cervejinha', 'fazer', 'dinheirinho', 'se', 'chamava', 'policia', 'o', 'proprio', 'pai', 'disse', 'suporta', 'ver', 'policia', 'prendendo', 'agredindo', 'ladrao', 'celular']","""meninos"" só queriam um celular para tomar uma cervejinha e fazer um dinheirinho. Se eu fosse ele nem chamava a polícia. O próprio pai disse que não suporta mais ver a polícia prendendo e agredindo ladrão de celular. 🤣🤣🤣🤣

https://t.co/tbHQYU3y8k"
"['egua', 'morro', 'vergonha', 'compartilhar', 'playlist', 'spotify']","égua, morro de vergonha de compartilhar minhas playlist do spotify (???)"
"['tue', 'tue', 'caralho']",tuê tuê é do caralho
Tweet Tratado,Tweet Original
"['queria', 'ganha', 'uns', 'pila', 'cada', 'coisa', 'faco', 'nesse', 'cacete']",queria ganha uns pila por cada coisa que eu faço a mais nesse cacete
"['dor', 'garganta', 'caralho']",dor de garganta do caralho
"['fdp', 'desgracento']",fdp desgracento!!
"['esse', 'mino', 'xinga', 'kkkkkkk', 'chama', 'cinica', 'sonsa', 'diaba', 'fdp', 'debochada', 'kkkkkkkkkkkkkkkkkkkk']","Esse mino só me xinga kkkkkkk me chama de cínica, sonsa, diaba, fdp , debochada kkkkkkkkkkkkkkkkkkkk"
"['semana', 'retrasada', 'larissa', 'vendo', 'hrs', 'iguais', 'direto', 'agora', 'toma', 'cu']",Semana retrasada foi a Larissa a vendo hrs iguais direto agora eu toma no cu
"['o', 'taurus', 'ficar', 'amarrado', 'come', 'tudo', 'destroi', 'tudo', 'filedaputa']",O Taurus tem que ficar amarrado come tudo destrói tudo esse filedaputa
